sample-pruner: freed 0.49 GB, 3085 pruned, 0 checked
sample-pruner: freed 0.17 GB, 3086 pruned, 0 checked
sample-pruner: freed 0.19 GB, 3088 pruned, 0 checked
sample-pruner: freed 0.68 GB, 3096 pruned, 0 checked
sample-pruner: freed 0.35 GB, 3100 pruned, 0 checked
sample-pruner: freed 0.18 GB, 3102 pruned, 0 checked
sample-pruner: freed 0.27 GB, 3104 pruned, 0 checked
sample-pruner: freed 0.07 GB, 3105 pruned, 0 checked
sample-pruner: freed 0.30 GB, 3109 pruned, 0 checked
sample-pruner: freed 0.70 GB, 3113 pruned, 0 checked
sample-pruner: freed 0.50 GB, 3118 pruned, 0 checked
sample-pruner: freed 0.46 GB, 3124 pruned, 0 checked
sample-pruner: freed 0.40 GB, 3128 pruned, 0 checked
sample-pruner: freed 0.21 GB, 3132 pruned, 0 checked
sample-pruner: freed 0.08 GB, 3133 pruned, 0 checked
sample-pruner: freed 0.34 GB, 3136 pruned, 0 checked
sample-pruner: freed 0.29 GB, 3139 pruned, 0 checked
sample-pruner: freed 0.38 GB, 3144 pruned, 0 checked
sample-pruner: freed 0.15 GB, 3146 pruned, 0 checked
sample-pruner: freed 0.40 GB, 3151 pruned, 0 checked
sample-pruner: freed 0.54 GB, 3159 pruned, 0 checked
sample-pruner: freed 0.14 GB, 3161 pruned, 0 checked
sample-pruner: freed 0.22 GB, 3163 pruned, 0 checked
sample-pruner: freed 0.30 GB, 3166 pruned, 0 checked
sample-pruner: freed 0.39 GB, 3169 pruned, 0 checked
sample-pruner: freed 0.40 GB, 3173 pruned, 0 checked
sample-pruner: freed 0.02 GB, 3173 pruned, 0 checked
sample-pruner: freed 0.32 GB, 3176 pruned, 0 checked
sample-pruner: freed 0.25 GB, 3181 pruned, 0 checked
sample-pruner: freed 0.43 GB, 3185 pruned, 0 checked
sample-pruner: freed 0.60 GB, 3194 pruned, 0 checked
sample-pruner: freed 0.43 GB, 3199 pruned, 0 checked
sample-pruner: freed 0.14 GB, 3201 pruned, 0 checked
sample-pruner: freed 0.41 GB, 3207 pruned, 0 checked
sample-pruner: freed 0.58 GB, 3215 pruned, 0 checked
sample-pruner: freed 0.08 GB, 3216 pruned, 0 checked
sample-pruner: freed 0.35 GB, 3219 pruned, 0 checked
sample-pruner: freed 0.15 GB, 3221 pruned, 0 checked
sample-pruner: freed 0.61 GB, 3228 pruned, 0 checked
sample-pruner: freed 0.58 GB, 3234 pruned, 0 checked
sample-pruner: freed 0.52 GB, 3239 pruned, 0 checked
sample-pruner: freed 0.02 GB, 3239 pruned, 0 checked
sample-pruner: freed 0.19 GB, 3241 pruned, 0 checked
sample-pruner: freed 0.17 GB, 3243 pruned, 0 checked
sample-pruner: freed 0.43 GB, 3249 pruned, 0 checked
sample-pruner: freed 0.72 GB, 3255 pruned, 0 checked
sample-pruner: freed 0.67 GB, 3263 pruned, 0 checked
sample-pruner: freed 1.27 GB, 3276 pruned, 0 checked
sample-pruner: freed 0.80 GB, 3285 pruned, 0 checked
sample-pruner: freed 0.56 GB, 3291 pruned, 0 checked
sample-pruner: freed 0.82 GB, 3300 pruned, 0 checked
sample-pruner: freed 0.66 GB, 3308 pruned, 0 checked
sample-pruner: freed 0.44 GB, 3313 pruned, 0 checked
sample-pruner: freed 0.60 GB, 3321 pruned, 0 checked
sample-pruner: freed 0.91 GB, 3332 pruned, 0 checked
sample-pruner: freed 1.00 GB, 3343 pruned, 0 checked
sample-pruner: freed 0.96 GB, 3353 pruned, 0 checked
sample-pruner: freed 0.63 GB, 3361 pruned, 0 checked
sample-pruner: freed 0.52 GB, 3367 pruned, 0 checked
sample-pruner: freed 0.59 GB, 3372 pruned, 0 checked
sample-pruner: freed 0.72 GB, 3381 pruned, 0 checked
sample-pruner: freed 0.27 GB, 3383 pruned, 0 checked
sample-pruner: freed 0.71 GB, 3391 pruned, 0 checked
sample-pruner: freed 0.54 GB, 3397 pruned, 0 checked
sample-pruner: freed 0.89 GB, 3406 pruned, 0 checked
sample-pruner: freed 0.60 GB, 3413 pruned, 0 checked
sample-pruner: freed 0.78 GB, 3423 pruned, 0 checked
sample-pruner: freed 0.45 GB, 3429 pruned, 0 checked
sample-pruner: freed 0.69 GB, 3438 pruned, 0 checked
sample-pruner: freed 0.83 GB, 3447 pruned, 0 checked
sample-pruner: freed 0.97 GB, 3460 pruned, 0 checked
sample-pruner: freed 0.70 GB, 3467 pruned, 0 checked
sample-pruner: freed 0.33 GB, 3472 pruned, 0 checked
sample-pruner: freed 0.79 GB, 3480 pruned, 0 checked
sample-pruner: freed 0.65 GB, 3487 pruned, 0 checked
sample-pruner: freed 0.82 GB, 3497 pruned, 0 checked
sample-pruner: freed 1.08 GB, 3512 pruned, 0 checked
sample-pruner: freed 0.24 GB, 3515 pruned, 0 checked
sample-pruner: freed 0.76 GB, 3525 pruned, 0 checked
sample-pruner: freed 0.68 GB, 3534 pruned, 0 checked
sample-pruner: freed 0.75 GB, 3540 pruned, 0 checked
sample-pruner: freed 0.61 GB, 3546 pruned, 0 checked
sample-pruner: freed 0.51 GB, 3551 pruned, 0 checked
sample-pruner: freed 0.57 GB, 3556 pruned, 0 checked
sample-pruner: freed 1.09 GB, 3569 pruned, 0 checked
sample-pruner: freed 0.76 GB, 3579 pruned, 0 checked
sample-pruner: freed 0.83 GB, 3589 pruned, 0 checked
sample-pruner: freed 0.58 GB, 3597 pruned, 0 checked
sample-pruner: freed 0.74 GB, 3606 pruned, 0 checked
sample-pruner: freed 0.69 GB, 3615 pruned, 0 checked
sample-pruner: freed 0.73 GB, 3625 pruned, 0 checked
sample-pruner: freed 0.89 GB, 3636 pruned, 0 checked
sample-pruner: freed 0.52 GB, 3641 pruned, 0 checked
sample-pruner: freed 1.01 GB, 3653 pruned, 0 checked
sample-pruner: freed 0.33 GB, 3656 pruned, 0 checked
sample-pruner: freed 0.91 GB, 3665 pruned, 0 checked
sample-pruner: freed 0.63 GB, 3671 pruned, 0 checked
sample-pruner: freed 0.76 GB, 3680 pruned, 0 checked
sample-pruner: freed 0.94 GB, 3695 pruned, 0 checked
sample-pruner: freed 0.90 GB, 3704 pruned, 0 checked
sample-pruner: freed 0.46 GB, 3709 pruned, 0 checked
sample-pruner: freed 0.57 GB, 3715 pruned, 0 checked
sample-pruner: freed 0.51 GB, 3721 pruned, 0 checked
sample-pruner: freed 0.24 GB, 3724 pruned, 0 checked
sample-pruner: freed 0.52 GB, 3729 pruned, 0 checked
sample-pruner: freed 0.50 GB, 3734 pruned, 0 checked
sample-pruner: freed 0.69 GB, 3740 pruned, 0 checked
sample-pruner: freed 0.24 GB, 3742 pruned, 0 checked
sample-pruner: freed 0.34 GB, 3745 pruned, 0 checked
sample-pruner: freed 0.40 GB, 3750 pruned, 0 checked
sample-pruner: freed 0.71 GB, 3757 pruned, 0 checked
sample-pruner: freed 0.61 GB, 3763 pruned, 0 checked
sample-pruner: freed 0.42 GB, 3768 pruned, 0 checked
sample-pruner: freed 0.86 GB, 3777 pruned, 0 checked
sample-pruner: freed 0.53 GB, 3783 pruned, 0 checked
sample-pruner: freed 0.48 GB, 3788 pruned, 0 checked
